STEPS_PER_ACTION	GOOMBA_RANGE	KOOPA_RANGE	RUN_SCORE	RUN_TIME	STEPS
5	45	75	1843.0	41.5928893	1211
5	45	80	1843.0	41.5146839	1211
5	50	30	1550.0	33.7668631	977
5	50	35	1550.0	35.6929962	1037
5	50	40	1547.0	35.8384006	1043
5	50	45	1545.0	35.9171172	1043
5	50	50	1549.0	34.9693089	1015
5	50	55	3015.0	69.9917272	2122
5	50	60	1548.0	33.9173087	983
5	50	65	3014.0	70.2387703	2142
5	50	70	3017.0	68.991005	2086
5	50	75	3017.0	69.1902466	2086
5	50	80	3017.0	69.2642037	2086
5	55	30	1550.0	33.6385783	977
5	55	35	1550.0	35.6171753	1037
5	55	40	1547.0	35.7713875	1043
5	55	45	1545.0	35.8518283	1043
5	55	50	1549.0	34.859988	1015
5	55	55	2605.0	59.3302941	1783
5	55	60	1548.0	33.8068458	983
5	55	65	3014.0	70.2633506	2142
5	55	70	3017.0	68.9554356	2086
5	55	75	3017.0	69.0906115	2086
5	55	80	3017.0	69.1418292	2086
5	60	30	1549.0	33.6772815	979
5	60	35	1548.0	36.0958042	1045
5	60	40	1547.0	35.6984705	1041
5	60	45	1546.0	36.1283035	1041
5	60	50	1407.0	31.8681097	925
5	60	55	1673.0	37.855103	1115
5	60	60	1673.0	37.7924756	1115
5	60	65	1673.0	38.1149469	1115
5	60	70	1673.0	37.9095451	1115
5	60	75	1528.0	34.598395	1015
5	60	80	1528.0	34.6442244	1015
5	65	30	1411.0	30.9653297	897
5	65	35	1411.0	31.0263728	897
5	65	40	1411.0	31.0614608	897
5	65	45	1411.0	31.1128333	897
5	65	50	1411.0	31.0963672	897
5	65	55	1411.0	31.5989086	897
5	65	60	1411.0	31.934795	897
5	65	65	1411.0	31.0395766	897
5	65	70	1411.0	31.0719203	897
5	65	75	1411.0	31.0138715	897
5	65	80	1411.0	31.0306363	897
5	70	30	1411.0	31.248419	897
5	70	35	1411.0	31.4089541	897
5	70	40	1411.0	31.3639827	897
5	70	45	1411.0	31.3169502	897
5	70	50	1411.0	31.35957	897
5	70	55	1411.0	31.2953783	897
5	70	60	1411.0	31.2662351	897
5	70	65	1411.0	31.3413316	897
5	70	70	1411.0	31.2464393	897
5	70	75	1411.0	31.3282319	897
5	70	80	1411.0	31.4193104	897
5	75	30	1411.0	31.3173711	897
5	75	35	1411.0	31.2971395	897
5	75	40	1411.0	31.4392418	897
5	75	45	1411.0	31.3727332	897
5	75	50	1411.0	31.3149461	897
5	75	55	1411.0	31.2725394	897
5	75	60	1411.0	31.2639165	897
5	75	65	1411.0	31.2240349	897
5	75	70	1411.0	31.2713561	897
5	75	75	1411.0	31.1563662	897
5	75	80	1411.0	31.3422502	897
5	80	30	1411.0	31.176165	897
5	80	35	1411.0	31.5493692	897
5	80	40	1411.0	31.2905433	897
5	80	45	1411.0	31.277276	897
5	80	50	1411.0	31.2514034	897
5	80	55	1411.0	31.2144398	897
5	80	60	1411.0	31.1948317	897
5	80	65	1411.0	31.2171643	897
5	80	70	1411.0	31.3708872	897
5	80	75	1411.0	31.180378	897
5	80	80	1411.0	31.2477632	897
6	30	30	1551.0	28.355669	939
6	30	35	1548.0	29.8049953	1007
6	30	40	1548.0	29.8929167	1007
6	30	45	1548.0	29.9525338	1007
6	30	50	1541.0	30.0498034	1015
6	30	55	1549.0	28.9217646	975
6	30	60	1541.0	30.2273022	1015
6	30	65	1517.0	30.153212	1025
6	30	70	3016.0	60.0347085	2101
6	30	75	3016.0	60.1830428	2101
6	30	80	3016.0	59.9596841	2101
6	35	30	1551.0	28.0529684	939
6	35	35	1546.0	30.917264	1043
6	35	40	1545.0	31.3258475	1055
6	35	45	1424.0	27.6259037	921
6	35	50	1546.0	28.4137157	945
6	35	55	1425.0	27.099947	903
6	35	60	3016.0	60.6783708	2101
6	35	65	3016.0	60.6115234	2101
6	35	70	3016.0	59.9651932	2101
6	35	75	3016.0	59.9010083	2101
6	35	80	3016.0	60.2585967	2101
6	40	30	1551.0	29.3864426	977
6	40	35	1546.0	31.1482151	1049
6	40	40	1545.0	31.2319775	1055
6	40	45	1549.0	29.9283357	997
6	40	50	1546.0	30.848388	1043
6	40	55	1545.0	31.1782979	1055
6	40	60	3013.0	61.9342818	2173
6	40	65	1548.0	29.3260636	983
6	40	70	3014.0	61.244689	2154
6	40	75	1521.0	30.1472268	1021
6	40	80	1521.0	30.1153886	1021
6	45	30	1551.0	29.066188	977
6	45	35	1546.0	30.9689248	1049
6	45	40	1545.0	31.2441343	1055
6	45	45	1549.0	29.9263848	997
6	45	50	1546.0	31.0007051	1043
6	45	55	1545.0	31.4002036	1055
6	45	60	3013.0	61.9916526	2173
6	45	65	1548.0	29.317963	983
6	45	70	3015.0	60.1151456	2131
6	45	75	1521.0	30.0974222	1021
6	45	80	1521.0	30.11281	1021
6	50	30	1551.0	28.9358011	977
6	50	35	1546.0	31.0207547	1049
6	50	40	1545.0	31.3054612	1055
6	50	45	1549.0	29.9640504	997
6	50	50	1546.0	30.8630952	1043
6	50	55	1545.0	31.1817308	1055
6	50	60	3013.0	61.706835	2173
6	50	65	1548.0	29.1281106	983
6	50	70	2602.0	51.7320345	1785
6	50	75	1521.0	30.1968041	1021
6	50	80	1521.0	30.1969809	1021
6	55	30	1550.0	29.6867517	999
6	55	35	1549.0	31.5477295	1063
6	55	40	1547.0	31.5368506	1071
6	55	45	1542.0	31.710956	1073
6	55	50	1549.0	29.7315794	1001
6	55	55	1542.0	31.6766002	1073
6	55	60	1516.0	30.9356877	1049
6	55	65	1518.0	30.9105279	1047
6	55	70	1518.0	30.8610258	1047
6	55	75	1522.0	30.5949091	1039
6	55	80	1522.0	30.6999778	1039
6	60	30	1402.0	26.5095035	899
6	60	35	1402.0	26.4518169	899
6	60	40	1402.0	26.7685369	899
6	60	45	1402.0	27.1361348	899
6	60	50	1402.0	26.4767413	899
6	60	55	1402.0	26.4837131	899
6	60	60	1402.0	26.454534	899
6	60	65	1402.0	26.4344717	899
6	60	70	1402.0	26.5849329	899
6	60	75	1402.0	26.517803	899
6	60	80	1402.0	26.6012717	899
6	65	30	231.0	4.9707347	159
6	65	35	231.0	4.9797135	159
6	65	40	231.0	5.0052032	159
6	65	45	231.0	4.9682637	159
6	65	50	231.0	4.9780024	159
6	65	55	231.0	4.9305931	159
6	65	60	231.0	4.9144176	159
6	65	65	231.0	4.9189873	159
6	65	70	231.0	5.0499367	159
6	65	75	231.0	4.9809187	159
6	65	80	231.0	4.9764959	159
6	70	30	231.0	4.9646398	159
6	70	35	231.0	4.9651564	159
6	70	40	231.0	4.9599755	159
6	70	45	231.0	4.9630367	159
6	70	50	231.0	4.9532695	159
6	70	55	231.0	4.9680071	159
6	70	60	231.0	4.9350986	159
6	70	65	231.0	5.0081834	159
6	70	70	231.0	4.9645201	159
6	70	75	231.0	4.9620004	159
6	70	80	231.0	4.956126	159
6	75	30	231.0	4.9165042	159
6	75	35	231.0	4.9432543	159
