1,232,114
2,236,111
3,553,214
4,552,222
5,457,179
6,436,151
7,553,243
8,232,111
9,1054,463
10,230,112
11,455,187
12,231,114
13,233,143
14,554,224
15,234,108
16,231,119
17,235,114
18,235,105
19,554,213
20,231,112
21,455,174
22,1363,560
23,767,286
24,236,101
25,454,198
26,454,225
27,450,178
28,232,128
29,552,222
30,1218,477
31,230,116
32,458,183
33,553,242
34,455,242
35,456,220
36,230,116
37,1253,453
38,456,214
39,231,115
40,1041,361
41,443,198
42,447,192
43,1040,397
44,438,162
45,230,112
46,456,184
47,234,103
48,554,205
49,231,127
50,457,184
51,234,115
52,1231,447
53,234,102
54,549,225
55,229,120
56,1058,372
57,456,203
58,233,140
59,230,110
60,1241,462
61,231,125
62,549,249
63,232,142
64,232,108
65,233,129
66,552,260
67,233,145
68,1362,535
69,230,119
70,555,267
71,457,203
72,453,194
73,232,121
74,231,119
75,231,140
