STEPS_PER_ACTION	GOOMBA_RANGE	KOOPA_RANGE	RUN_SCORE	RUN_TIME	STEPS
5	40	30	1550.0	37.7767061	977
5	40	35	1550.0	39.5372132	1037
5	40	40	1547.0	41.508615	1043
5	40	45	1545.0	48.4539912	1043
5	40	50	1549.0	46.7169183	1015
5	40	55	3014.0	109.769105	2152
5	40	60	1548.0	48.2130696	983
5	40	65	3016.0	97.3533265	2100
5	40	70	1843.0	46.9555125	1211
5	40	75	1843.0	50.2312749	1211
5	40	80	1843.0	43.0683211	1211
5	45	30	1550.0	33.9445718	977
5	45	35	1550.0	36.4141535	1037
5	45	40	1547.0	36.5031974	1043
5	45	45	1545.0	37.4625951	1043
5	45	50	1549.0	35.1665645	1015
5	45	55	3013.0	72.0478959	2161
5	45	60	1548.0	34.7797558	983
5	45	65	3016.0	69.4840165	2100
5	45	70	1843.0	41.6698252	1211
5	45	75	1843.0	41.4800061	1211
5	45	80	1843.0	42.987418	1211
5	50	30	1550.0	35.7255926	977
5	50	35	1550.0	37.3640157	1037
5	50	40	1547.0	38.0072678	1043
5	50	45	1545.0	38.8929077	1043
5	50	50	1549.0	35.9655118	1015
5	50	55	3015.0	71.6008622	2122
5	50	60	1548.0	34.1647957	983
5	50	65	3014.0	73.5623508	2142
5	50	70	3017.0	71.9885657	2086
5	50	75	3017.0	75.6310832	2086
5	50	80	3017.0	72.3310474	2086
5	55	30	1550.0	34.6531872	977
5	55	35	1550.0	35.3950515	1037
5	55	40	1547.0	35.8596956	1043
5	55	45	1545.0	35.9514037	1043
5	55	50	1549.0	34.975521	1015
5	55	55	2605.0	59.7300162	1783
5	55	60	1548.0	33.6787619	983
5	55	65	3014.0	70.5467963	2142
5	55	70	3017.0	70.9808866	2086
5	55	75	3017.0	69.3474112	2086
5	55	80	3017.0	71.416268	2086
5	60	30	1549.0	33.6873129	979
5	60	35	1548.0	36.2927423	1045
5	60	40	1547.0	35.8926565	1041
5	60	45	1546.0	35.7689266	1041
5	60	50	1407.0	32.0336014	925
5	60	55	1673.0	37.5209464	1115
5	60	60	1673.0	38.1841739	1115
5	60	65	1673.0	38.1284685	1115
5	60	70	1673.0	37.8785885	1115
5	60	75	1528.0	35.1272054	1015
5	60	80	1528.0	35.0884396	1015
5	65	30	1411.0	30.9643539	897
5	65	35	1411.0	30.9623964	897
5	65	40	1411.0	31.1041804	897
5	65	45	1411.0	31.014558	897
5	65	50	1411.0	31.1294161	897
5	65	55	1411.0	31.0796906	897
5	65	60	1411.0	31.680197	897
5	65	65	1411.0	31.078705	897
5	65	70	1411.0	31.1773027	897
5	65	75	1411.0	30.9638818	897
5	65	80	1411.0	30.9620922	897
5	70	30	1411.0	32.778587	897
5	70	35	1411.0	31.8525771	897
5	70	40	1411.0	32.189732	897
5	70	45	1411.0	31.6096303	897
5	70	50	1411.0	31.3478218	897
5	70	55	1411.0	31.4080482	897
5	70	60	1411.0	32.2186422	897
5	70	65	1411.0	32.0823104	897
5	70	70	1411.0	31.8181394	897
5	70	75	1411.0	31.1235933	897
5	70	80	1411.0	31.9382536	897
5	75	30	1411.0	30.8679133	897
5	75	35	1411.0	30.9529857	897
5	75	40	1411.0	31.6002561	897
5	75	45	1411.0	31.5894295	897
5	75	50	1411.0	30.9941947	897
5	75	55	1411.0	32.6794242	897
5	75	60	1411.0	32.7942217	897
5	75	65	1411.0	30.844214	897
5	75	70	1411.0	30.9040357	897
5	75	75	1411.0	30.8998418	897
5	75	80	1411.0	31.001786	897
5	80	30	1411.0	30.9457608	897
5	80	35	1411.0	31.4508328	897
5	80	40	1411.0	31.0677403	897
5	80	45	1411.0	32.0929694	897
5	80	50	1411.0	31.2622554	897
5	80	55	1411.0	31.1516192	897
5	80	60	1411.0	31.046424	897
5	80	65	1411.0	31.3467354	897
5	80	70	1411.0	32.0839639	897
5	80	75	1411.0	32.4982313	897
5	80	80	1411.0	31.416949	897
6	30	30	1551.0	27.8049316	939
6	30	35	1548.0	29.5566664	1007
6	30	40	1548.0	29.6016499	1007
6	30	45	1548.0	29.6779042	1007
6	30	50	1541.0	30.1185687	1015
6	30	55	1549.0	28.8770315	975
6	30	60	1541.0	29.8212872	1015
6	30	65	1517.0	30.0358328	1025
6	30	70	3016.0	59.8001497	2101
6	30	75	3016.0	60.1078885	2101
6	30	80	3016.0	59.6306703	2101
6	35	30	1551.0	27.7807419	939
6	35	35	1546.0	30.5765509	1043
6	35	40	1545.0	32.0995181	1055
6	35	45	1424.0	27.4237716	921
6	35	50	1546.0	28.0656883	945
6	35	55	1425.0	26.7994405	903
6	35	60	3016.0	59.5689588	2101
6	35	65	3016.0	59.8116942	2101
6	35	70	3016.0	60.2615491	2101
6	35	75	3016.0	59.6250453	2101
6	35	80	3016.0	60.780633	2101
6	40	30	1551.0	30.2367794	977
6	40	35	1546.0	30.7139975	1049
6	40	40	1545.0	31.0713984	1055
6	40	45	1549.0	30.1011407	997
6	40	50	1546.0	32.5466438	1043
6	40	55	1545.0	34.1309789	1055
6	40	60	3013.0	64.9351649	2173
6	40	65	1548.0	32.2385484	983
6	40	70	3014.0	61.0929069	2154
6	40	75	1521.0	29.7885072	1021
6	40	80	1521.0	29.8440921	1021
6	45	30	1551.0	29.1690413	977
6	45	35	1546.0	30.6515314	1049
6	45	40	1545.0	31.4041873	1055
6	45	45	1549.0	29.811592	997
6	45	50	1546.0	30.7151354	1043
6	45	55	1545.0	31.08294	1055
6	45	60	3013.0	61.2705991	2173
6	45	65	1548.0	29.5561355	983
6	45	70	3015.0	59.984315	2131
6	45	75	1521.0	29.6366528	1021
6	45	80	1521.0	30.1634306	1021
6	50	30	1551.0	29.0087692	977
6	50	35	1546.0	31.0485226	1049
6	50	40	1545.0	31.0226192	1055
6	50	45	1549.0	31.1837366	997
6	50	50	1546.0	32.2757902	1043
6	50	55	1545.0	33.5542564	1055
6	50	60	3013.0	61.6426424	2173
6	50	65	1548.0	30.0394447	983
6	50	70	2602.0	50.61626	1785
6	50	75	1521.0	29.8607847	1021
6	50	80	1521.0	29.653409	1021
6	55	30	1550.0	29.1084912	999
6	55	35	1549.0	31.031291	1063
6	55	40	1547.0	31.6657564	1071
6	55	45	1542.0	32.4803617	1073
6	55	50	1549.0	29.6693136	1001
6	55	55	1542.0	31.9871407	1073
6	55	60	1516.0	31.0188225	1049
6	55	65	1518.0	31.1311448	1047
6	55	70	1518.0	31.0157786	1047
6	55	75	1522.0	30.90104	1039
6	55	80	1522.0	30.7719043	1039
6	60	30	1402.0	26.498908	899
6	60	35	1402.0	26.7882703	899
6	60	40	1402.0	26.8819763	899
6	60	45	1402.0	26.7329019	899
6	60	50	1402.0	26.7407992	899
6	60	55	1402.0	26.4768569	899
6	60	60	1402.0	26.4821941	899
6	60	65	1402.0	25.9505304	899
6	60	70	1402.0	26.1996063	899
6	60	75	1402.0	26.7331403	899
6	60	80	1402.0	26.9656904	899
6	65	30	231.0	5.0060596	159
6	65	35	231.0	4.8940714	159
6	65	40	231.0	4.8694473	159
6	65	45	231.0	4.9258374	159
6	65	50	231.0	4.8603252	159
6	65	55	231.0	5.100986	159
6	65	60	231.0	4.8973963	159
6	65	65	231.0	4.905684	159
6	65	70	231.0	4.9400535	159
6	65	75	231.0	4.9675216	159
6	65	80	231.0	4.8549846	159
6	70	30	231.0	5.0375232	159
6	70	35	231.0	4.914695	159
6	70	40	231.0	4.9780148	159
6	70	45	231.0	5.1701709	159
6	70	50	231.0	5.3031475	159
6	70	55	231.0	5.2179317	159
6	70	60	231.0	5.5800453	159
6	70	65	231.0	5.2110557	159
6	70	70	231.0	5.2514285	159
6	70	75	231.0	5.3217523	159
6	70	80	231.0	5.0994951	159
6	75	30	231.0	4.9752551	159
6	75	35	231.0	4.8972979	159
6	75	40	231.0	4.9205719	159
6	75	45	231.0	4.8967643	159
6	75	50	231.0	4.9849393	159
6	75	55	231.0	5.0841974	159
6	75	60	231.0	5.0223137	159
6	75	65	231.0	4.8361559	159
6	75	70	231.0	4.9441096	159
6	75	75	231.0	4.8523206	159
6	75	80	231.0	4.914756	159
6	80	30	1552.0	28.2976794	975
6	80	35	1549.0	30.6963022	1067
6	80	40	1549.0	31.3134164	1067
6	80	45	1549.0	31.5833219	1067
6	80	50	1823.0	37.8665033	1315
6	80	55	1549.0	28.3979608	977
6	80	60	1823.0	37.9691571	1309
6	80	65	1516.0	29.7645331	1027
6	80	70	1516.0	29.7985228	1027
6	80	75	1516.0	29.7046687	1027
6	80	80	1823.0	34.7614745	1219
